Key,Id,Japanese (Japan)(ja-JP),English (United States)(en-US),Korean(ko),Chinese (Simplified)(zh-Hans)
"Objective_Find Fuse",11647643648,"ヒューズを探す: {0} / {1}","Find Fuses : {0} / {1}","퓨즈 찾기: {0} / {1}",
"Objective_Return To The Train",5017956315136,"列車に戻る","Return To The Train","열차로 복귀",
"InteractInfo_Label_Data Chip",39306689310720,"データチップ","Data Chip","스킬 칩 획득!",
"InteractInfo_Info_Data Chip",39680867364864,"スキルポイント + 1","Skill Point + 1","스킬 포인트 + 1",
"InteractInfo_Label_Fuse Found",39802678341632,"ヒューズを発見！","Fuse Found!","퓨즈 발견!",
"InteractInfo_Info_Fuse Found",40014511665152,"列車を起動するのにあと{0}つ","{0} more to activate the train","{0} 개를 더 찾아 열차 활성화",
"InteractInfo_Info_All Fuse Found",43858834550784,"出発する列車に乗り込む","Board The Train To Depart","열차에 탑승해 출발",
"PickableInfo_Info_Restore HP",274671173955584,"HPを回復する","Restore HP","체력 충전",
"PickableInfo_Info_Activate Fuse",274776752975872,"ヒューズを作動させる","Activate Fuse","퓨즈 작동",
"PickableInfo_Info_Skill Chip Pickup",275202390945792,"スキルチップを拾う","Pick Up Skill Chip","스킬 칩 획득",
"PickableInfo_Info_UseAccelerationButton",1030100430680064,"列車を加速する","Acclerate Train","열차 가속",
