Key,Id,Japanese (Japan)(ja-JP),English (United States)(en-US),Korean(ko),Chinese (Simplified)(zh-Hans)
Label_Control,21501436817408,マウス＆コントローラー,Mouse & Controller,마우스 &  컨트롤러,鼠标 & 控制器
Setting_Control_Sensitivity,23579047555072,感度,Sensitivity,조준 감도,灵敏度
Setting_Control_Vertical Sensitivity,24020590325760,垂直感度,Vertical Sensitivity,수직 조준 감도,垂直灵敏度
Setting_Control_Horizontal Sensitivity,24648083369984,水平感度,Horizontal Sensitivity,수평 조준 감도,水平灵敏度
Label_Display,24738076356608,ディスプレイ,Display,디스플레이,显示
Setting_Display_Display Mode,24846197125120,明るさ,Display Mode,디스플레이 모드,显示模式
Setting_Display_Display Resolution,24849783255040,フルスクリーンモード,Display Resolution,디스플레이 해상도,显示分辨率
Setting_Display_Frame Limiter,24852203368448,解像度,Frame Limitation,프레임 제한,帧率限制
Label_Save,27182764191744,垂直同期,"Save     <sprite name=""Interact"">","저장     <sprite name=""Interact""> ","保存     <sprite name=""Interact"">"
Label_Language,128359149400064,品質,Language,언어,语言
Setting_Language_Language,128473913946112,オーディオ,Language,언어,语言
Setting_Display_Display Mode_Selection_FullScreen,302666320244736,マスターボリューム,FullScreen,전체화면,全屏
Setting_Display_Display Mode_Selection_Windowed,303122069123072,音楽のボリューム,Windowed,창 모드,窗口模式
Setting_Language_Language_Korean,313311166001152,効果音のボリューム,Korean,한국어,韩语
Setting_Language_Language_English,313402513747968,ボイスのボリューム,English,영어,英语
Setting_Language_Language_Japanese,1934759987478528,言語,Japanese,일본,日语
