Key,Id,Japanese (Japan)(ja-JP),English (United States)(en-US),Korean(ko),Chinese (Simplified)(zh-Hans)
SKILL_DESC_HEADSHOT_DAMAGE_0,5434288854499328,"ヘッドショットダメージ
+<color=#FFFFFF>20%</color>.","Headshot damage
+<color=#FFFFFF>20%</color>.","헤드샷 데미지 
+<color=#FFFFFF>20%</color>","爆头伤害
+<color=#FFFFFF>20%</color>。"
SKILL_DESC_HEADSHOT_DAMAGE_1,5434895560572928,"ヘッドショットダメージ 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>.","Headshot damage 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>.","헤드샷 데미지 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color> ","爆头伤害 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>。"
SKILL_DESC_HEADSHOT_DAMAGE_2,5443291068203008,"ヘッドショットダメージ 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","Headshot damage 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","헤드샷 데미지 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color> ","爆头伤害 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>"
SKILL_DESC_HEADSHOT_DAMAGE_3,5443293257629696,"ヘッドショットダメージ 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","Headshot damage 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","헤드샷 데미지 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color> ","爆头伤害 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>"
SKILL_DESC_HEADSHOT_DAMAGE_4,5443304917794816,"ヘッドショットダメージ 
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>","Headshot damage 
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>","헤드샷 데미지 
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color> ","爆头伤害 
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>"
SKILL_DESC_HEADSHOT_DAMAGE_5,5443721529622528,"ヘッドショットダメージ 
+<color=#FF0000>100%</color>","Headshot damage 
+<color=#FF0000>100%</color>","헤드샷 데미지 
+<color=#FF0000>100%</color> ","爆头伤害 
+<color=#FF0000>100%</color>"
SKILL_DESC_ATTACKSPEED_0,5446913504018432,"発射速度 
+<color=#FFFFFF>20%</color>","Fire rate 
+<color=#FFFFFF>20%</color>","연사 속도 
+<color=#FFFFFF>20%</color>","射速 
+<color=#FFFFFF>20%</color>"
SKILL_DESC_ATTACKSPEED_1,5446916205150208,"発射速度 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","Fire rate 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","연사 속도 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","射速 
+<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>"
SKILL_DESC_ATTACKSPEED_2,5446917966757888,"発射速度 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","Fire rate 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","연사 속도 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>","射速 
+<color=#FFFFFF>40%</color> → <color=#FFFFFF>60%</color>"
SKILL_DESC_ATTACKSPEED_3,5446919631896576,"発射速度 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","Fire rate 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","연사 속도 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>","射速 
+<color=#FFFFFF>60%</color> → <color=#FFFFFF>80%</color>"
SKILL_DESC_ATTACKSPEED_4,5446921527721984,"発射速度 
+<color=#FFFFFF>80%</color>→ <color=#FF0000>100%</color>","Fire rate 
+<color=#FFFFFF>80%</color>→ <color=#FF0000>100%</color>","연사 속도 
+<color=#FFFFFF>80%</color> → <color=#FF0000>100%</color>","射速 
+<color=#FFFFFF>80%</color>→ <color=#FF0000>100%</color>"
SKILL_DESC_ATTACKSPEED_5,5446925638139904,"発射速度 
+<color=#FF0000>100%</color>","Fire rate 
+<color=#FF0000>100%</color>","연사 속도 
+<color=#FF0000>100%</color>","射速 
+<color=#FF0000>100%</color>"
SKILL_DESC_RECOIL_REDUCE_0,5465942369206272,反動 -<color=#FF0000>20%</color>,Recoil -<color=#FF0000>20%</color>,"반동 
-<color=#FFFFFF>20%</color> ",后坐力 -<color=#FF0000>20%</color>
SKILL_DESC_RECOIL_REDUCE_1,5465943979819008,"反動 
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","Recoil 
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>","반동 
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color> ","后坐力 
-<color=#FFFFFF>20%</color> → <color=#FFFFFF>40%</color>"
